# lattice_size(m)  alpha(shape)  beta(scale)
2.572319e-06 5.924200e+00 5.324900e-08
2.686843e-06 5.924200e+00 1.064980e-07
2.635084e-06 5.235700e+00 9.394600e-08
2.768150e-06 5.235700e+00 1.878920e-07
3.057829e-06 5.205100e+00 1.022700e-07
3.316682e-06 5.205100e+00 2.045400e-07
3.855385e-06 8.535800e+00 3.736900e-08
4.043938e-06 8.535800e+00 7.473800e-08
2.660798e-06 1.019600e+01 3.698300e-08
2.901761e-06 1.019600e+01 7.396600e-08
1.321393e-06 1.627500e+01 1.428200e-08
1.409414e-06 1.627500e+01 2.856400e-08
1.330865e-06 5.331600e+00 1.024200e-07
1.419587e-06 5.331600e+00 2.048400e-07
1.528945e-06 3.502700e+00 1.633100e-07
1.650264e-06 3.502700e+00 3.266200e-07
1.932141e-06 2.877100e+00 2.493200e-07
2.067041e-06 2.877100e+00 4.986400e-07
1.330399e-06 3.273400e+00 2.456300e-07
1.468060e-06 3.273400e+00 4.912600e-07
1.267790e-06 4.818400e+00 1.300800e-07
1.403685e-06 4.818400e+00 2.601600e-07
